time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	9.74827e-05	556.754
1	9.74827e-05	0.000197498	1120.1
2	0.000197498	0.00030018	825.733
3	0.00030018	0.000405676	870.596
4	0.000405676	0.000514144	810.95
5	0.000514144	0.000625757	656.035
6	0.000625757	0.000740701	493.16
7	0.000740701	0.000859183	369.143
8	0.000859183	0.000981427	287.33
9	0.000981427	0.00110768	236.518
10	0.00110768	0.00123821	197.206
11	0.00123821	0.00137333	197.206
12	0.00137333	0.00151336	179.58
13	0.00151336	0.00165867	179.58
14	0.00165867	0.00180968	184.308
15	0.00180968	0.00196686	184.308
16	0.00196686	0.00213073	201.078
17	0.00213073	0.00230189	201.078
18	0.00230189	0.00248101	222.874
19	0.00248101	0.00266887	222.874
20	0.00266887	0.00286636	242.546
21	0.00286636	0.00307454	242.546
22	0.00307454	0.00329462	251.903
23	0.00329462	0.00352805	251.903
24	0.00352805	0.00377655	242.109
25	0.00377655	0.00404219	242.109
26	0.00404219	0.00432754	206.753
27	0.00432754	0.00463573	206.753
28	0.00463573	0.00497076	148.866
29	0.00497076	0.00533773	148.866
30	0.00533773	0.00574341	85.6725
31	0.00574341	0.00619692	85.6725
32	0.00619692	0.00671106	38.2266
33	0.00671106	0.0073046	38.2266
34	0.0073046	0.0080066	13.4854
35	0.0080066	0.00886578	13.4854
36	0.00886578	0.00997346	4.26759
37	0.00997346	0.0115347	4.26759
38	0.0115347	0.0142035	7.81196
39	0.0142035	inf	7.81196
