0.0012292	-4740902.02	-0,0.000124482,0.000252199,0.000383321,0.000518036,0.000656547,0.000799072,0.000945853,0.00109715,0.00125325,0.00141447,0.00158116,0.0017537,0.00193251,0.00211807,0.00231091,0.00251163,0.00272088,0.00293944,0.00316817,0.00340806,0.00366026,0.0039261,0.00420714,0.00450521,0.00482254,0.00516176,0.00552613,0.00591969,0.00634751,0.00681613,0.00733416,0.00791328,0.00856982,0.00932775,0.0102242,0.0113213,0.0127358,0.0147294,0.0181375,inf	203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384,203.384
0.0011894	-4728829.70	-0,0.000124482,0.000252199,0.000383321,0.000518036,0.000656547,0.000799072,0.000945853,0.00109715,0.00125325,0.00141447,0.00158116,0.0017537,0.00193251,0.00211807,0.00231091,0.00251163,0.00272088,0.00293944,0.00316817,0.00340806,0.00366026,0.0039261,0.00420714,0.00450521,0.00482254,0.00516176,0.00552613,0.00591969,0.00634751,0.00681613,0.00733416,0.00791328,0.00856982,0.00932775,0.0102242,0.0113213,0.0127358,0.0147294,0.0181375,inf	279.345,308.645,278.627,254.025,236.321,223.557,214.283,207.473,202.4,198.567,194.444,194.444,190.86,190.86,188.608,188.608,187.146,187.146,186.167,186.167,185.493,185.493,185.005,185.005,184.621,184.621,184.275,184.275,183.907,183.907,183.443,183.443,182.761,182.761,181.581,181.581,178.913,178.913,172.653,172.653
0.00115694	-4719489.66	-0,0.000124482,0.000252199,0.000383321,0.000518036,0.000656547,0.000799072,0.000945853,0.00109715,0.00125325,0.00141447,0.00158116,0.0017537,0.00193251,0.00211807,0.00231091,0.00251163,0.00272088,0.00293944,0.00316817,0.00340806,0.00366026,0.0039261,0.00420714,0.00450521,0.00482254,0.00516176,0.00552613,0.00591969,0.00634751,0.00681613,0.00733416,0.00791328,0.00856982,0.00932775,0.0102242,0.0113213,0.0127358,0.0147294,0.0181375,inf	294.083,391.024,341.886,296.912,263.891,239.993,222.675,210.016,200.634,193.581,186.036,186.036,179.532,179.532,175.48,175.48,172.868,172.868,171.135,171.135,169.953,169.953,169.113,169.113,168.464,168.464,167.893,167.893,167.298,167.298,166.555,166.555,165.468,165.468,163.597,163.597,159.441,159.441,150.186,150.186
0.00113064	-4712132.08	-0,0.000124482,0.000252199,0.000383321,0.000518036,0.000656547,0.000799072,0.000945853,0.00109715,0.00125325,0.00141447,0.00158116,0.0017537,0.00193251,0.00211807,0.00231091,0.00251163,0.00272088,0.00293944,0.00316817,0.00340806,0.00366026,0.0039261,0.00420714,0.00450521,0.00482254,0.00516176,0.00552613,0.00591969,0.00634751,0.00681613,0.00733416,0.00791328,0.00856982,0.00932775,0.0102242,0.0113213,0.0127358,0.0147294,0.0181375,inf	274.995,448.187,392.631,332.985,287.458,254.032,229.72,211.972,198.86,189.041,178.586,178.586,169.643,169.643,164.108,164.108,160.561,160.561,158.219,158.219,156.634,156.634,155.519,155.519,154.672,154.672,153.941,153.941,153.192,153.192,152.273,152.273,150.938,150.938,148.658,148.658,143.679,143.679,133.053,133.053
0.00110949	-4706271.33	-0,0.000124482,0.000252199,0.000383321,0.000518036,0.000656547,0.000799072,0.000945853,0.00109715,0.00125325,0.00141447,0.00158116,0.0017537,0.00193251,0.00211807,0.00231091,0.00251163,0.00272088,0.00293944,0.00316817,0.00340806,0.00366026,0.0039261,0.00420714,0.00450521,0.00482254,0.00516176,0.00552613,0.00591969,0.00634751,0.00681613,0.00733416,0.00791328,0.00856982,0.00932775,0.0102242,0.0113213,0.0127358,0.0147294,0.0181375,inf	244.851,484.292,432.246,363.44,308.139,266.631,236.196,213.944,197.531,185.278,172.28,172.28,161.238,161.238,154.441,154.441,150.1,150.1,147.243,147.243,145.316,145.316,143.967,143.967,142.952,142.952,142.089,142.089,141.22,141.22,140.172,140.172,138.67,138.67,136.135,136.135,130.702,130.702,119.532,119.532
0.00109264	-4701559.94	-0,0.000124482,0.000252199,0.000383321,0.000518036,0.000656547,0.000799072,0.000945853,0.00109715,0.00125325,0.00141447,0.00158116,0.0017537,0.00193251,0.00211807,0.00231091,0.00251163,0.00272088,0.00293944,0.00316817,0.00340806,0.00366026,0.0039261,0.00420714,0.00450521,0.00482254,0.00516176,0.00552613,0.00591969,0.00634751,0.00681613,0.00733416,0.00791328,0.00856982,0.00932775,0.0102242,0.0113213,0.0127358,0.0147294,0.0181375,inf	214.972,504.707,462.565,389.304,326.7,278.389,242.549,216.25,196.857,182.411,167.138,167.138,154.238,154.238,146.332,146.332,141.294,141.294,137.979,137.979,135.743,135.743,134.179,134.179,133.007,133.007,132.018,132.018,131.039,131.039,129.879,129.879,128.247,128.247,125.536,125.536,119.848,119.848,108.559,108.559
0.00107937	-4697738.84	-0,0.000124482,0.000252199,0.000383321,0.000518036,0.000656547,0.000799072,0.000945853,0.00109715,0.00125325,0.00141447,0.00158116,0.0017537,0.00193251,0.00211807,0.00231091,0.00251163,0.00272088,0.00293944,0.00316817,0.00340806,0.00366026,0.0039261,0.00420714,0.00450521,0.00482254,0.00516176,0.00552613,0.00591969,0.00634751,0.00681613,0.00733416,0.00791328,0.00856982,0.00932775,0.0102242,0.0113213,0.0127358,0.0147294,0.0181375,inf	189.481,514.092,485.298,411.347,343.61,289.626,248.994,219.016,196.89,180.435,163.081,163.081,148.501,148.501,139.597,139.597,133.928,133.928,130.193,130.193,127.666,127.666,125.894,125.894,124.562,124.562,123.443,123.443,122.349,122.349,121.078,121.078,119.327,119.327,116.475,116.475,110.64,110.64,99.4483,99.4483
0.00106908	-4694612.26	-0,0.000124482,0.000252199,0.000383321,0.000518036,0.000656547,0.000799072,0.000945853,0.00109715,0.00125325,0.00141447,0.00158116,0.0017537,0.00193251,0.00211807,0.00231091,0.00251163,0.00272088,0.00293944,0.00316817,0.00340806,0.00366026,0.0039261,0.00420714,0.00450521,0.00482254,0.00516176,0.00552613,0.00591969,0.00634751,0.00681613,0.00733416,0.00791328,0.00856982,0.00932775,0.0102242,0.0113213,0.0127358,0.0147294,0.0181375,inf	169.182,516.022,501.888,430.119,359.125,300.481,255.597,222.252,197.597,179.275,159.993,159.993,143.868,143.868,134.048,134.048,127.796,127.796,123.666,123.666,120.859,120.859,118.878,118.878,117.38,117.38,116.121,116.121,114.901,114.901,113.511,113.511,111.638,111.638,108.659,108.659,102.728,102.728,91.7415,91.7415
0.00106128	-4692031.38	-0,0.000124482,0.000252199,0.000383321,0.000518036,0.000656547,0.000799072,0.000945853,0.00109715,0.00125325,0.00141447,0.00158116,0.0017537,0.00193251,0.00211807,0.00231091,0.00251163,0.00272088,0.00293944,0.00316817,0.00340806,0.00366026,0.0039261,0.00420714,0.00450521,0.00482254,0.00516176,0.00552613,0.00591969,0.00634751,0.00681613,0.00733416,0.00791328,0.00856982,0.00932775,0.0102242,0.0113213,0.0127358,0.0147294,0.0181375,inf	153.624,513.103,513.522,446.021,373.367,310.982,262.339,225.907,198.895,178.827,157.742,157.742,140.18,140.18,129.51,129.51,122.712,122.712,118.205,118.205,115.124,115.124,112.931,112.931,111.259,111.259,109.848,109.848,108.49,108.49,106.967,106.967,104.963,104.963,101.857,101.857,95.8547,95.8547,85.1226,85.1226
0.00105556	-4689882.53	-0,0.000124482,0.000252199,0.000383321,0.000518036,0.000656547,0.000799072,0.000945853,0.00109715,0.00125325,0.00141447,0.00158116,0.0017537,0.00193251,0.00211807,0.00231091,0.00251163,0.00272088,0.00293944,0.00316817,0.00340806,0.00366026,0.0039261,0.00420714,0.00450521,0.00482254,0.00516176,0.00552613,0.00591969,0.00634751,0.00681613,0.00733416,0.00791328,0.00856982,0.00932775,0.0102242,0.0113213,0.0127358,0.0147294,0.0181375,inf	142.009,507.185,521.176,459.367,386.393,321.096,269.156,229.896,200.686,178.98,156.199,156.199,137.292,137.292,125.827,125.827,118.513,118.513,113.644,113.644,110.293,110.293,107.885,107.885,106.031,106.031,104.456,104.456,102.945,102.945,101.277,101.277,99.1306,99.1306,95.8907,95.8907,89.8263,89.8263,79.3664,79.3664
