0.00121336	-4531312.60	-0,0.000122878,0.000248948,0.000378381,0.00051136,0.000648085,0.000788774,0.000933663,0.00108301,0.0012371,0.00139624,0.00156078,0.0017311,0.0019076,0.00209077,0.00228113,0.00247926,0.00268582,0.00290156,0.00312734,0.00336414,0.00361309,0.0038755,0.00415291,0.00444715,0.00476038,0.00509524,0.00545491,0.00584339,0.0062657,0.00672828,0.00723964,0.00781129,0.00845938,0.00920753,0.0100924,0.0111754,0.0125717,0.0145396,0.0179037,inf	206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04,206.04
0.00117643	-4520578.67	-0,0.000122878,0.000248948,0.000378381,0.00051136,0.000648085,0.000788774,0.000933663,0.00108301,0.0012371,0.00139624,0.00156078,0.0017311,0.0019076,0.00209077,0.00228113,0.00247926,0.00268582,0.00290156,0.00312734,0.00336414,0.00361309,0.0038755,0.00415291,0.00444715,0.00476038,0.00509524,0.00545491,0.00584339,0.0062657,0.00672828,0.00723964,0.00781129,0.00845938,0.00920753,0.0100924,0.0111754,0.0125717,0.0145396,0.0179037,inf	265.211,309.313,281.385,257.649,240.226,227.473,218.108,211.201,206.062,202.196,198.075,198.075,194.526,194.526,192.309,192.309,190.863,190.863,189.882,189.882,189.186,189.186,188.665,188.665,188.245,188.245,187.866,187.866,187.476,187.476,187.007,187.007,186.342,186.342,185.218,185.218,182.686,182.686,176.658,176.658
0.00114577	-4512172.24	-0,0.000122878,0.000248948,0.000378381,0.00051136,0.000648085,0.000788774,0.000933663,0.00108301,0.0012371,0.00139624,0.00156078,0.0017311,0.0019076,0.00209077,0.00228113,0.00247926,0.00268582,0.00290156,0.00312734,0.00336414,0.00361309,0.0038755,0.00415291,0.00444715,0.00476038,0.00509524,0.00545491,0.00584339,0.0062657,0.00672828,0.00723964,0.00781129,0.00845938,0.00920753,0.0100924,0.0111754,0.0125717,0.0145396,0.0179037,inf	267.72,391.156,345.466,301.893,269.209,245.173,227.567,214.658,205.113,197.98,190.424,190.424,183.98,183.98,179.985,179.985,177.399,177.399,175.653,175.653,174.423,174.423,173.512,173.512,172.785,172.785,172.143,172.143,171.493,171.493,170.725,170.725,169.648,169.648,167.844,167.844,163.852,163.852,154.804,154.804
0.00112044	-4505476.34	-0,0.000122878,0.000248948,0.000378381,0.00051136,0.000648085,0.000788774,0.000933663,0.00108301,0.0012371,0.00139624,0.00156078,0.0017311,0.0019076,0.00209077,0.00228113,0.00247926,0.00268582,0.00290156,0.00312734,0.00336414,0.00361309,0.0038755,0.00415291,0.00444715,0.00476038,0.00509524,0.00545491,0.00584339,0.0062657,0.00672828,0.00723964,0.00781129,0.00845938,0.00920753,0.0100924,0.0111754,0.0125717,0.0145396,0.0179037,inf	241.459,448.948,397.405,339.436,294.168,260.361,235.51,217.329,203.948,193.998,183.519,183.519,174.656,174.656,169.2,169.2,165.684,165.684,163.319,163.319,161.659,161.659,160.435,160.435,159.469,159.469,158.627,158.627,157.791,157.791,156.821,156.821,155.481,155.481,153.26,153.26,148.432,148.432,137.922,137.922
0.00109963	-4500087.71	-0,0.000122878,0.000248948,0.000378381,0.00051136,0.000648085,0.000788774,0.000933663,0.00108301,0.0012371,0.00139624,0.00156078,0.0017311,0.0019076,0.00209077,0.00228113,0.00247926,0.00268582,0.00290156,0.00312734,0.00336414,0.00361309,0.0038755,0.00415291,0.00444715,0.00476038,0.00509524,0.00545491,0.00584339,0.0062657,0.00672828,0.00723964,0.00781129,0.00845938,0.00920753,0.0100924,0.0111754,0.0125717,0.0145396,0.0179037,inf	207.228,486.205,438.274,371.293,316.119,273.947,242.694,219.82,203.033,190.601,177.572,177.572,166.634,166.634,159.938,159.938,155.636,155.636,152.746,152.746,150.718,150.718,149.226,149.226,148.052,148.052,147.042,147.042,146.056,146.056,144.933,144.933,143.411,143.411,140.923,140.923,135.617,135.617,124.469,124.469
0.00108265	-4495714.73	-0,0.000122878,0.000248948,0.000378381,0.00051136,0.000648085,0.000788774,0.000933663,0.00108301,0.0012371,0.00139624,0.00156078,0.0017311,0.0019076,0.00209077,0.00228113,0.00247926,0.00268582,0.00290156,0.00312734,0.00336414,0.00361309,0.0038755,0.00415291,0.00444715,0.00476038,0.00509524,0.00545491,0.00584339,0.0062657,0.00672828,0.00723964,0.00781129,0.00845938,0.00920753,0.0100924,0.0111754,0.0125717,0.0145396,0.0179037,inf	174.849,507.857,469.732,398.416,335.807,286.534,249.588,222.476,202.609,187.944,172.639,172.639,159.874,159.874,152.095,152.095,147.106,147.106,143.75,143.75,141.391,141.391,139.65,139.65,138.284,138.284,137.115,137.115,135.991,135.991,134.738,134.738,133.072,133.072,130.398,130.398,124.815,124.815,113.469,113.469
0.00106888	-4492137.46	-0,0.000122878,0.000248948,0.000378381,0.00051136,0.000648085,0.000788774,0.000933663,0.00108301,0.0012371,0.00139624,0.00156078,0.0017311,0.0019076,0.00209077,0.00228113,0.00247926,0.00268582,0.00290156,0.00312734,0.00336414,0.00361309,0.0038755,0.00415291,0.00444715,0.00476038,0.00509524,0.00545491,0.00584339,0.0062657,0.00672828,0.00723964,0.00781129,0.00845938,0.00920753,0.0100924,0.0111754,0.0125717,0.0145396,0.0179037,inf	147.62,518.368,493.429,421.567,353.718,298.475,256.442,225.462,202.769,186.059,168.682,168.682,154.272,154.272,145.523,145.523,139.915,139.915,136.134,136.134,133.463,133.463,131.483,131.483,129.925,129.925,128.597,128.597,127.335,127.335,125.954,125.954,124.159,124.159,121.338,121.338,115.59,115.59,104.283,104.283
0.00105783	-4489187.61	-0,0.000122878,0.000248948,0.000378381,0.00051136,0.000648085,0.000788774,0.000933663,0.00108301,0.0012371,0.00139624,0.00156078,0.0017311,0.0019076,0.00209077,0.00228113,0.00247926,0.00268582,0.00290156,0.00312734,0.00336414,0.00361309,0.0038755,0.00415291,0.00444715,0.00476038,0.00509524,0.00545491,0.00584339,0.0062657,0.00672828,0.00723964,0.00781129,0.00845938,0.00920753,0.0100924,0.0111754,0.0125717,0.0145396,0.0179037,inf	125.919,521.263,510.809,441.321,370.143,309.948,263.362,228.825,203.511,184.904,165.613,165.613,149.698,149.698,140.065,140.065,133.888,133.888,129.708,129.708,126.737,126.737,124.519,124.519,122.765,122.765,121.271,121.271,119.864,119.864,118.35,118.35,116.427,116.427,113.475,113.475,107.621,107.621,96.4755,96.4755
0.00104906	-4486735.67	-0,0.000122878,0.000248948,0.000378381,0.00051136,0.000648085,0.000788774,0.000933663,0.00108301,0.0012371,0.00139624,0.00156078,0.0017311,0.0019076,0.00209077,0.00228113,0.00247926,0.00268582,0.00290156,0.00312734,0.00336414,0.00361309,0.0038755,0.00415291,0.00444715,0.00476038,0.00509524,0.00545491,0.00584339,0.0062657,0.00672828,0.00723964,0.00781129,0.00845938,0.00920753,0.0100924,0.0111754,0.0125717,0.0145396,0.0179037,inf	109.081,519.157,523.077,458.106,385.24,321.015,270.363,232.543,204.783,184.403,163.326,163.326,146.018,146.018,135.567,135.567,128.861,128.861,124.3,124.3,121.036,121.036,118.579,118.579,116.623,116.623,114.952,114.952,113.389,113.389,111.733,111.733,109.676,109.676,106.598,106.598,100.666,100.666,89.7441,89.7441
0.00104222	-4484681.53	-0,0.000122878,0.000248948,0.000378381,0.00051136,0.000648085,0.000788774,0.000933663,0.00108301,0.0012371,0.00139624,0.00156078,0.0017311,0.0019076,0.00209077,0.00228113,0.00247926,0.00268582,0.00290156,0.00312734,0.00336414,0.00361309,0.0038755,0.00415291,0.00444715,0.00476038,0.00509524,0.00545491,0.00584339,0.0062657,0.00672828,0.00723964,0.00781129,0.00845938,0.00920753,0.0100924,0.0111754,0.0125717,0.0145396,0.0179037,inf	96.1997,513.939,531.228,472.254,399.085,331.672,277.408,236.557,206.508,184.463,161.711,161.711,143.104,143.104,131.892,131.892,124.687,124.687,119.762,119.762,116.209,116.209,113.51,113.51,111.344,111.344,109.487,109.487,107.756,107.756,105.947,105.947,103.747,103.747,100.538,100.538,94.541,94.541,83.8702,83.8702
