time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	0.000116394	192.663
1	0.000116394	0.000235812	569.289
2	0.000235812	0.000358415	397.003
3	0.000358415	0.000484376	516.727
4	0.000484376	0.000613887	600.565
5	0.000613887	0.000747152	555.721
6	0.000747152	0.000884396	438.754
7	0.000884396	0.00102586	324.88
8	0.00102586	0.00117182	242.694
9	0.00117182	0.00132257	190.243
10	0.00132257	0.00147842	148.419
11	0.00147842	0.00163975	148.419
12	0.00163975	0.00180694	126.765
13	0.00180694	0.00198045	126.765
14	0.00198045	0.00216076	123.49
15	0.00216076	0.00234843	123.49
16	0.00234843	0.00254409	128.513
17	0.00254409	0.00274845	128.513
18	0.00274845	0.00296232	136.741
19	0.00296232	0.00318662	136.741
20	0.00318662	0.00342243	144.498
21	0.00342243	0.003671	144.498
22	0.003671	0.00393377	147.999
23	0.00393377	0.00421249	147.999
24	0.00421249	0.00450919	142.576
25	0.00450919	0.00482637	142.576
26	0.00482637	0.00516707	123.981
27	0.00516707	0.00553505	123.981
28	0.00553505	0.00593507	92.4643
29	0.00593507	0.00637325	92.4643
30	0.00637325	0.00685762	56.1988
31	0.00685762	0.00739911	56.1988
32	0.00739911	0.008013	27.0667
33	0.008013	0.00872168	27.0667
34	0.00872168	0.00955987	10.6671
35	0.00955987	0.0105857	10.6671
36	0.0105857	0.0119083	4.07773
37	0.0119083	0.0137724	4.07773
38	0.0137724	0.016959	4.02539
39	0.016959	inf	4.02539
